,player_id,player_name,firstname,lastname,number,position,age,birth_date,birth_place,birth_country,nationality,height,weight
0,2296,Eden Hazard,Eden,Hazard,,Attacker,29,07/01/1991,La Louvière,Belgium,Belgium,175 cm,74 kg
1,154,L. Messi,Lionel Andrés,Messi Cuccittini,,Attacker,33,24/06/1987,Rosario,Argentina,Argentina,170 cm,72 kg
2,909,M. Rashford,Marcus,Rashford,,Attacker,23,31/10/1997,Manchester,England,England,180 cm,70 kg
3,908,Anthony Martial,Anthony,Martial,,Attacker,25,05/12/1995,Massy,France,France,181 cm,76 kg
4,897,Mason Greenwood,Mason,Greenwood,,Attacker,19,01/10/2001,Bradford,England,England,181 cm,70 kg
5,892,C. Smalling,Chris,Smalling,,Defender,31,22/11/1989,Greenwich,England,England,194 cm,81 kg
6,2935,Harry Maguire,Harry,Maguire,,Defender,27,05/03/1993,Sheffield,England,England,194 cm,100 kg
7,302,Roberto Firmino Barbosa de Oliveira,Roberto Firmino,Barbosa de Oliveira,,Attacker,29,02/10/1991,Maceió,Brazil,Brazil,181 cm,76 kg
8,904,P. Pogba,Paul,Pogba,,Midfielder,27,15/03/1993,Lagny-sur-Marne,France,France,191 cm,84 kg
9,891,L. Shaw,Luke,Shaw,,Defender,25,12/07/1995,Kingston upon Thames,England,England,185 cm,75 kg
10,882,David de Gea Quintana,David,de Gea Quintana,,Goalkeeper,30,07/11/1990,Madrid,Spain,Spain,192 cm,76 kg
11,276,Neymar da Silva Santos Júnior,Neymar,da Silva Santos Júnior,,Attacker,28,05/02/1992,Mogi das Cruzes,Brazil,Brazil,175 cm,68 kg
12,18758,Séamus Coleman,Séamus,Coleman,,Defender,32,11/10/1988,Donegal,Republic of Ireland,Republic of Ireland,177 cm,67 kg
13,19203,A. Cole,Ashley,Cole,,Defender,39,20/12/1980,London,England,England,176 cm,66 kg
14,731,K. Navas,Keylor,Navas Gamboa,,Goalkeeper,34,15/12/1986,San Isidro,Costa Rica,Costa Rica,185 cm,79 kg
15,117602,Dean Smith,Dean,Smith,,Midfielder,23,13/05/1996,Dumfries,Scotland,Scotland,,
16,902,Nemanja Matić,Nemanja,Matić,,Midfielder,32,01/08/1988,Šabac,Serbia,Serbia,194 cm,85 kg
17,907,Romelu Lukaku Menama,Romelu,Lukaku Menama,,Attacker,27,13/05/1993,Antwerpen,Belgium,Belgium,190 cm,94 kg
18,114744,Adam Johnson,Adam,Johnson,,Midfielder,29,14/07/1987,Sunderland,England,England,178 cm,62 kg
19,759,K. Benzema,Karim,Benzema,,Attacker,33,19/12/1987,Lyon,France,France,185 cm,81 kg
20,5982,C. Tevez,Carlos Alberto,Tevez,,Attacker,36,05/02/1984,Ciudadela,Argentina,Argentina,173 cm,75 kg
21,113639,Dimitar Ivanov Berbatov,Dimitar,Ivanov Berbatov,,Attacker,37,30/01/1981,Blagoevgrad,Bulgaria,Bulgaria,188 cm,79 kg
0,19154,C. Brunt,Chris,Brunt,,Midfielder,36,14/12/1984,Belfast,Northern Ireland,Northern Ireland,185 cm,84 kg
