Unnamed: 0,team_id,name,code,logo,country,founded,venue_name,venue_surface,venue_address,venue_city,venue_capacity,is_national
0,33,Manchester United,MUN,https://media.api-sports.io/football/teams/33.png,England,1878.0,Old Trafford,grass,Sir Matt Busby Way,Manchester,76212.0,
1,50,Manchester City,,https://media.api-sports.io/football/teams/50.png,England,1880.0,Etihad Stadium,grass,Rowsley Street,Manchester,55097.0,
2,49,Chelsea,,https://media.api-sports.io/football/teams/49.png,England,1905.0,Stamford Bridge,grass,Fulham Road,London,41841.0,
3,47,Tottenham,,https://media.api-sports.io/football/teams/47.png,England,1882.0,Tottenham Hotspur Stadium,grass,"Bill Nicholson Way, 748 High Road",London,62062.0,
4,64,Hull City,,https://media.api-sports.io/football/teams/64.png,England,1904.0,KCOM Stadium,grass,Walton Street / Anlaby Road,Hull,25504.0,
5,45,Everton,,https://media.api-sports.io/football/teams/45.png,England,1878.0,Goodison Park,grass,Goodison Road,Liverpool,40569.0,
6,40,Liverpool,,https://media.api-sports.io/football/teams/40.png,England,1892.0,Anfield,grass,Anfield Road,Liverpool,55212.0,
7,36,Fulham,,https://media.api-sports.io/football/teams/36.png,England,1879.0,Craven Cottage,grass,Stevenage Road,London,25700.0,
8,60,West Brom,,https://media.api-sports.io/football/teams/60.png,England,1878.0,The Hawthorns,grass,Halfords Lane,West Bromwich,28003.0,
9,52,Crystal Palace,,https://media.api-sports.io/football/teams/52.png,England,1905.0,Selhurst Park,grass,Holmesdale Road,London,26309.0,
10,42,Arsenal,,https://media.api-sports.io/football/teams/42.png,England,1886.0,Emirates Stadium,grass,Queensland Road,London,60383.0,
11,532,Valencia,,https://media.api-sports.io/football/teams/532.png,Spain,1919.0,Estadio de Mestalla,grass,Avenida de Suecia,Valencia,55000.0,
12,11923,Norwich City U23,,https://media.api-sports.io/football/teams/11923.png,England,,Colney Training Centre,grass,Hethersett Lane,"Colney, Norfolk",1000.0,
13,15157,Bodegem Kapelle United,,https://media.api-sports.io/football/teams/15157.png,,,Terrein Bodegem Kapelle United,grass,Lumbeekstraat 75,Dilbeek,2000.0,
14,14723,Manchester Utd U23,,https://media.api-sports.io/football/teams/14723.png,,,Leigh Sports Village Stadium,grass,Sale Way,"Leigh, Greater Manchester",11000.0,
15,63,Leeds,,https://media.api-sports.io/football/teams/63.png,England,1919.0,Elland Road,grass,Elland Road,"Leeds, West Yorkshire",40204.0,
16,44,Burnley,,https://media.api-sports.io/football/teams/44.png,England,1882.0,Turf Moor,grass,Harry Potts Way,Burnley,22546.0,False
17,41,Southampton,,https://media.api-sports.io/football/teams/41.png,England,1885.0,St. Mary's Stadium,grass,Britannia Road,"Southampton, Hampshire",32689.0,False
18,66,Aston Villa,,https://media.api-sports.io/football/teams/66.png,England,1874.0,Villa Park,grass,Trinity Road,Birmingham,42788.0,False
19,46,Leicester,,https://media.api-sports.io/football/teams/46.png,England,1884.0,King Power Stadium,grass,Filbert Way,"Leicester, Leicestershire",32262.0,False
20,48,West Ham,,https://media.api-sports.io/football/teams/48.png,England,1895.0,London Stadium,grass,"Marshgate Lane, Stratford",London,60000.0,False
21,34,Newcastle,,https://media.api-sports.io/football/teams/34.png,England,1892.0,St. James' Park,grass,St. James&apos; Street,Newcastle upon Tyne,52389.0,False
22,51,Brighton,,https://media.api-sports.io/football/teams/51.png,England,1901.0,The American Express Community Stadium,grass,Village Way,"Falmer, East Sussex",30750.0,False
23,62,Sheffield Utd,,https://media.api-sports.io/football/teams/62.png,England,1889.0,Bramall Lane,grass,Bramall Lane,Sheffield,32702.0,False
0,39,Wolves,,https://media.api-sports.io/football/teams/39.png,England,1877.0,Molineux Stadium,grass,Waterloo Road,"Wolverhampton, West Midlands",32050.0,False
